"",Thu Oct 01 00:00:00 CDT 2015,Sun Nov 01 00:00:00 CDT 2015,Tue Dec 01 00:00:00 CST 2015,Fri Jan 01 00:00:00 CST 2016,Mon Feb 01 00:00:00 CST 2016,Tue Mar 01 00:00:00 CST 2016,Fri Apr 01 00:00:00 CDT 2016,Sun May 01 00:00:00 CDT 2016,Wed Jun 01 00:00:00 CDT 2016,Fri Jul 01 00:00:00 CDT 2016,Mon Aug 01 00:00:00 CDT 2016,Thu Sep 01 00:00:00 CDT 2016,Sat Oct 01 00:00:00 CDT 2016,Tue Nov 01 00:00:00 CDT 2016,Thu Dec 01 00:00:00 CST 2016,Sun Jan 01 00:00:00 CST 2017,Wed Feb 01 00:00:00 CST 2017,Wed Mar 01 00:00:00 CST 2017,Sat Apr 01 00:00:00 CDT 2017,Mon May 01 00:00:00 CDT 2017,Thu Jun 01 00:00:00 CDT 2017,Sat Jul 01 00:00:00 CDT 2017,Tue Aug 01 00:00:00 CDT 2017,Fri Sep 01 00:00:00 CDT 2017,Sun Oct 01 00:00:00 CDT 2017,Tue Oct 31 00:00:00 CDT 2017
United Continental Holdings,null,55.730000,57.299999,48.279999,57.259998,59.860001,45.810001,45.090000,41.040001,46.889999,50.410000,52.470001,56.230000,68.949997,75.169998,70.470001,74.089996,70.639999,70.209999,79.669998,75.250000,67.680000,61.959999,60.880001,59.040001,58.480000
Allstate Corporation (The),null,62.759998,62.090000,60.599998,63.459999,67.370003,65.050003,67.510002,69.949997,68.330002,68.959999,69.180000,67.900002,69.919998,74.120003,75.209999,82.160004,81.489998,81.290001,86.339996,88.440002,91.000000,90.500000,91.910004,94.070000,93.860001
INTL FCStone Inc.,null,35.580002,33.459999,28.190001,25.530001,26.730000,27.299999,27.889999,27.290001,29.139999,36.020000,38.849998,35.900002,41.110001,39.599998,36.880001,37.750000,37.959999,37.349998,34.560001,37.759998,39.130001,35.490002,38.320000,41.000000,41.509998
"Chico's FAS, Inc.",null,12.000000,10.670000,10.390000,12.760000,13.270000,12.610000,10.850000,10.710000,12.010000,12.680000,11.900000,11.670000,15.310000,14.390000,13.490000,14.480000,14.200000,13.820000,9.460000,9.420000,9.150000,7.680000,8.950000,7.890000,7.990000
American Express Company,null,71.639999,69.550003,53.500000,55.580002,61.400002,65.430000,65.760002,60.759998,64.459999,65.580002,64.040001,66.419998,72.040001,74.080002,76.379997,80.059998,79.110001,79.250000,76.940002,84.239998,85.230003,86.099998,90.459999,95.070000,95.519997
"Gilead Sciences, Inc.",null,105.959999,101.190002,83.000000,87.250000,91.860001,88.209999,87.059998,83.419998,79.470001,78.379997,79.120003,73.629997,73.699997,71.610001,72.449997,70.480003,67.919998,68.550003,64.889999,70.779999,76.089996,83.709999,81.019997,75.989998,74.959999
General Dynamics Corporation,null,146.460007,137.360001,133.770004,136.270004,131.369995,140.520004,141.869995,139.240005,146.889999,152.220001,155.160004,150.740005,175.350006,175.389999,181.080002,189.809998,187.199997,193.789993,203.250000,198.100006,196.330002,201.350006,205.580002,206.169998,202.979996
"TJX Companies, Inc. (The)",null,70.599998,70.910004,71.239998,74.099998,78.349998,75.820000,76.120003,77.230003,81.720001,77.440002,74.779999,73.750000,78.339996,78.029999,74.919998,78.449997,79.080002,78.639999,75.209999,72.169998,70.309998,72.300003,73.730003,69.349998,69.800003
ConocoPhillips,null,54.049999,46.689999,39.080002,33.830002,40.270000,47.790001,43.790001,43.599998,40.820000,41.049999,43.470001,43.450001,48.520000,50.139999,48.759998,47.570000,49.869999,47.910000,44.689999,43.959999,45.369999,43.660000,50.049999,51.389999,51.150002
"Nike, Inc.",null,66.139999,62.500000,62.009998,61.590000,61.470001,58.939999,55.220001,55.200001,55.500000,57.639999,52.650002,50.180000,50.070000,51.720001,52.900002,57.160000,55.730000,55.410000,52.990002,59.000000,59.049999,52.810001,51.849998,55.270000,54.990002
World Fuel Services Corporation,null,43.590000,38.459999,38.950001,46.810001,48.580002,46.730000,45.970001,47.490002,47.599998,44.580002,46.259998,40.250000,44.459999,45.910000,44.480000,36.169998,36.250000,36.830002,35.340000,38.450001,32.340000,34.540001,33.910000,29.450001,27.799999
3M Company,null,156.580002,150.639999,151.000000,156.869995,166.630005,167.380005,168.320007,175.119995,178.360001,179.240005,176.229996,165.300003,171.740005,178.490005,174.820007,186.350006,191.330002,195.830002,204.470001,208.190002,201.169998,204.320007,209.899994,231.020004,230.190002
"Mondelez International, Inc.",null,43.660000,44.840000,43.099998,40.529999,40.119999,42.959999,44.490002,45.509998,43.980000,45.020000,43.900002,44.939999,41.240002,44.330002,44.279999,43.919998,43.080002,45.029999,46.590000,43.189999,44.020000,40.660000,40.660000,39.299999,41.430000
Exelon Corporation,null,27.309999,27.770000,29.570000,31.490000,35.860001,35.090000,34.270000,36.360001,37.279999,34.000000,33.290001,34.070000,32.509998,35.490002,35.880001,36.709999,35.980000,34.630001,36.310001,36.070000,38.340000,37.869999,37.669998,40.240002,40.209999
"Twenty-First Century Fox, Inc.",null,29.510000,27.160000,26.969999,27.020000,27.879999,30.260000,28.879999,27.049999,26.639999,24.540001,24.219999,26.270000,28.110001,28.209999,31.379999,29.920000,32.389999,30.540001,27.120001,28.340000,29.100000,27.590000,26.379999,26.389999,26.150000
Deere & Company,null,79.570000,76.269997,77.010002,80.180000,76.989998,84.110001,82.290001,81.040001,77.709999,84.550003,85.349998,88.300003,100.199997,103.040001,107.050003,109.489998,108.860001,111.610001,122.459999,123.589996,128.279999,115.930000,125.589996,132.300003,132.880005
Time Warner Inc. New,null,69.980003,64.669998,70.440002,66.199997,72.550003,75.139999,75.660004,73.540001,76.650002,78.410004,79.610001,88.989998,91.820000,96.529999,96.849998,98.209999,97.709999,99.269997,99.489998,100.410004,102.419998,101.099998,102.449997,98.489998,98.290001
E.I. du Pont de Nemours and Com,null,67.339996,65.519997,52.759998,60.869999,38.450001,65.519997,65.519997,64.800003,69.169998,69.599998,66.970001,68.790001,65.519997,65.519997,75.500000,78.540001,80.330002,79.750000,78.919998,79.919998,82.209999,83.930000,40.000000,40.500000,83.930000
"Avnet, Inc.",null,45.320000,42.840000,39.919998,41.150002,44.299999,41.119999,41.029999,40.509998,41.099998,41.680000,41.060001,41.950001,45.889999,47.610001,46.439999,46.080002,45.759998,38.689999,36.680000,38.880001,38.380001,38.570000,39.299999,39.700001,39.799999
Macy's Inc,null,39.080002,34.980000,40.410000,43.209999,44.090000,39.590000,33.209999,33.610001,35.830002,36.180000,37.049999,36.490002,42.200001,35.810001,29.540001,33.220001,29.639999,29.219999,23.500000,23.240000,23.750000,20.770000,21.820000,18.840000,18.760000
Enterprise Products Partners L.,null,25.389999,25.580000,23.910000,23.370001,24.620001,26.690001,27.760000,29.260000,28.469999,26.400000,27.629999,25.240000,25.930000,27.040001,28.330000,28.030001,27.610001,27.320000,26.809999,27.080000,27.200001,26.070000,26.070000,24.799999,24.500000
"The Travelers Companies, Inc.",null,114.570000,112.860001,107.040001,107.519997,116.709999,109.900002,114.139999,119.040001,116.220001,118.709999,114.550003,108.180000,113.349998,122.419998,117.779999,122.239998,120.540001,121.660004,124.849998,126.529999,128.089996,121.180000,122.519997,132.619995,132.449997
Philip Morris International Inc,null,87.389999,87.910004,90.010002,91.029999,98.110001,98.120003,98.680000,101.720001,100.260002,99.930000,97.220001,96.440002,88.279999,91.489998,96.129997,109.349998,112.900002,110.839996,119.800003,117.449997,116.709999,116.930000,111.010002,104.699997,104.639999
Rite Aid Corporation,null,7.880000,7.840000,7.790000,7.950000,8.150000,8.050000,7.700000,7.490000,7.000000,7.530000,7.690000,6.710000,7.960000,8.240000,5.620000,6.000000,4.250000,4.000000,3.410000,2.950000,2.240000,2.420000,1.960000,1.610000,1.650000
Tech Data Corporation,null,67.650002,66.379997,62.400002,70.410004,76.769997,68.690002,75.570000,71.849998,77.930000,74.239998,84.709999,77.019997,84.870003,84.680000,85.559998,87.000000,93.900002,95.650002,96.970001,101.000000,102.400002,110.290001,88.849998,91.459999,92.769997
McDonald's Corporation,null,114.160004,118.139999,123.779999,117.190002,125.680000,126.489998,122.059998,120.339996,117.650002,115.660004,115.360001,112.570000,119.269997,121.720001,122.570000,127.650002,129.610001,139.929993,150.889999,153.160004,155.139999,159.970001,156.679993,166.229996,166.910004
QUALCOMM Incorporated,null,48.790001,49.990002,45.340000,50.790001,51.139999,50.520000,54.919998,53.570000,62.580002,63.070000,68.500000,68.720001,68.129997,65.199997,53.430000,56.480000,57.340000,53.740002,57.270000,55.220001,53.189999,52.270000,51.840000,54.660000,51.009998
Sears Holdings Corporation,null,22.129999,20.559999,16.950001,17.469999,15.310000,16.379999,13.260000,13.610000,15.410000,13.770000,11.460000,11.110000,12.880000,9.290000,6.980000,7.840000,11.490000,10.220000,7.390000,8.860000,8.720000,8.210000,7.300000,5.640000,5.510000
Capital One Financial Corporati,null,78.510002,72.180000,65.620003,65.730003,69.309998,72.389999,73.239998,63.509998,67.080002,71.599998,71.830002,74.040001,84.040001,87.239998,87.389999,93.860001,86.660004,80.379997,76.919998,82.620003,86.180000,79.610001,84.660004,92.430000,92.180000
Duke Energy Corporation (Holdin,null,67.760002,71.389999,75.300003,74.279999,80.680000,78.779999,78.230003,85.790001,85.589996,79.660004,80.040001,80.019997,73.769997,77.620003,78.540001,82.550003,82.010002,82.500000,85.680000,83.589996,85.120003,87.300003,83.919998,88.110001,88.309998
Halliburton Company,null,39.849998,34.040001,31.790001,32.279999,35.720001,41.310001,42.180000,45.290001,43.660000,43.009998,44.880001,46.000000,53.090000,54.200001,56.570000,53.459999,49.209999,45.880001,45.189999,42.709999,42.439999,38.970001,46.029999,42.930000,42.740002
Northrop Grumman Corporation,null,186.360001,188.809998,185.059998,192.220001,197.899994,206.259995,212.669998,222.279999,216.630005,212.070007,213.949997,229.000000,249.649994,232.580002,229.080002,247.089996,237.839996,245.960007,259.220001,256.709991,263.130005,272.209991,287.720001,296.369995,295.529999
"Arrow Electronics, Inc.",null,56.560001,54.180000,51.599998,57.160000,64.410004,62.099998,64.620003,61.900002,66.489998,65.830002,63.970001,61.119999,68.269997,71.300003,73.519997,72.199997,73.410004,70.500000,75.589996,78.419998,81.290001,79.430000,80.410004,83.209999,83.589996
Raytheon Company,null,124.029999,124.529999,128.240005,123.849998,122.629997,126.349998,129.669998,135.949997,139.529999,140.130005,136.130005,136.610001,149.539993,146.300003,144.160004,154.149994,152.500000,155.210007,164.009995,161.479996,171.770004,182.009995,186.580002,179.580002,180.199997
"Plains Group Holdings, L.P. Cla",null,16.346666,12.600000,10.666667,10.133333,11.586667,13.200000,12.520000,13.906667,14.160000,15.173333,17.253334,16.746666,35.160000,34.680000,32.450001,32.869999,31.260000,29.770000,26.670000,26.160000,27.340000,22.480000,21.870001,20.200001,20.400000
AbbVie Inc.,null,58.150002,59.240002,54.900002,54.610001,57.119999,61.000000,62.930000,61.910000,66.230003,64.099998,63.070000,55.779999,60.799999,62.619999,61.110001,61.840000,65.160004,65.940002,66.019997,72.510002,69.910004,75.300003,88.860001,90.959999,90.250000
Centene Corporation,null,57.750000,65.809998,62.060001,56.959999,61.570000,61.959999,62.349998,71.370003,70.550003,68.290001,66.959999,62.480000,57.630001,56.509998,63.270000,70.500000,71.260002,74.400002,72.629997,79.879997,79.419998,88.849998,96.769997,93.809998,93.669998
"Community Health Systems, Inc.",null,23.917355,21.925619,17.752066,12.495868,15.297521,19.080000,13.440000,12.050000,12.770000,10.680000,11.540000,5.280000,5.440000,5.730000,6.400000,9.750000,8.870000,8.610000,8.850000,9.960000,7.150000,7.640000,7.680000,5.850000,5.900000
Arconic Inc.,null,21.049475,22.196384,16.394291,20.082443,21.544212,25.119921,20.847061,20.847061,23.883041,22.668648,22.803581,21.529236,19.280001,18.540001,22.790001,28.790001,26.340000,27.330000,27.469999,22.650000,24.790001,25.469999,24.879999,24.780001,25.120001
International Paper Company,null,41.830002,37.700001,34.209999,35.700001,41.040001,43.270000,42.160000,42.380001,45.810001,48.490002,47.980000,45.029999,48.720001,53.060001,56.599998,52.700001,50.779999,53.970001,52.880001,56.610001,54.980000,53.869999,56.820000,57.189999,57.270000
Emerson Electric Company,null,50.000000,47.830002,45.980000,48.830002,54.380001,54.630001,52.020000,52.160000,55.900002,52.680000,54.509998,50.680000,56.439999,55.750000,58.660000,60.099998,59.860001,60.279999,59.119999,59.619999,59.610001,59.040001,62.840000,67.339996,64.459999
Union Pacific Corporation,null,83.949997,78.199997,72.000000,78.860001,79.550003,87.230003,84.190002,87.250000,93.050003,95.529999,97.529999,88.180000,101.330002,103.680000,106.580002,107.940002,105.919998,111.959999,110.300003,108.910004,102.959999,105.300003,115.970001,116.370003,115.790001
Amgen Inc.,null,161.100006,162.330002,152.729996,142.279999,149.929993,158.300003,157.949997,152.149994,172.029999,170.059998,166.809998,141.160004,144.070007,146.210007,156.679993,176.529999,164.070007,163.320007,155.240005,172.229996,174.509995,177.770004,186.449997,174.589996,175.220001
U.S. Bancorp,null,43.889999,42.669998,40.060001,38.520000,40.590000,42.689999,42.820000,40.330002,42.169998,44.150002,42.889999,44.759998,49.619999,51.369999,52.650002,55.000000,51.500000,51.279999,50.889999,51.919998,52.779999,51.250000,53.590000,54.259998,54.380001
"Staples, Inc.",null,13.380000,9.470000,8.920000,13.380000,117.400002,117.400002,117.400002,117.400002,9.290000,8.760000,8.700000,7.400000,117.400002,9.490000,9.200000,8.990000,8.770000,117.400002,9.080000,8.860000,10.150000,9.950000,10.250000,10.250000
Danaher Corporation,null,73.078087,70.416985,65.693710,67.680061,71.918121,73.351021,74.571648,76.573158,81.440002,81.410004,78.389999,78.550003,78.169998,78.099998,83.919998,85.550003,85.529999,83.330002,84.940002,84.389999,81.489998,83.419998,85.779999,91.809998,92.269997
Whirlpool Corporation,null,162.520004,146.869995,134.389999,155.320007,180.339996,174.139999,174.619995,166.639999,192.360001,178.639999,162.160004,149.820007,162.440002,181.770004,174.889999,178.589996,171.330002,185.679993,185.539993,191.619995,177.880005,171.619995,184.440002,161.660004,163.929993
AFLAC Incorporated,null,65.239998,59.900002,57.959999,59.520000,63.139999,68.970001,69.459999,72.160004,72.279999,74.180000,71.870003,68.870003,71.379997,69.059998,69.989998,72.349998,72.419998,74.879997,75.379997,77.680000,79.750000,82.550003,81.389999,83.830002,83.889999
"AutoNation, Inc.",null,63.919998,59.660000,43.250000,51.470001,46.680000,50.650002,50.439999,46.980000,53.349998,47.349998,48.709999,43.869999,44.660000,48.970001,53.119999,45.900002,42.290001,42.000000,39.520000,42.160000,42.380001,45.369999,47.459999,47.590000,47.400002
Progressive Corporation (The),null,30.820000,31.799999,31.250000,31.920000,35.139999,32.599998,33.299999,33.500000,32.509998,32.560001,31.500000,31.510000,33.299999,35.500000,37.439999,39.180000,39.180000,39.720001,42.430000,44.090000,47.130001,46.480000,48.419998,48.660000,48.650002
Abbott Laboratories,null,44.919998,44.910000,37.849998,38.740002,41.830002,38.900002,39.630001,39.310001,44.750000,42.020000,42.290001,39.240002,38.070000,38.410000,41.770000,45.080002,44.410000,43.639999,45.660000,48.610001,49.180000,50.939999,53.360001,54.290001,54.230000
Dollar General Corporation,null,65.410004,71.870003,75.059998,74.250000,85.599998,81.910004,89.900002,94.000000,94.739998,73.410004,69.989998,69.089996,77.320000,74.070000,73.820000,73.019997,69.730003,72.709999,73.389999,72.089996,75.160004,72.559998,81.050003,81.230003,80.839996
Tenet Healthcare Corporation,null,33.189999,30.299999,27.120001,24.820000,28.930000,31.690001,28.940001,27.639999,30.610001,23.900000,22.660000,19.709999,15.230000,14.840000,17.590000,19.299999,17.709999,15.670000,16.540001,19.340000,17.350000,17.170000,16.430000,13.860000,14.280000
Eli Lilly and Company,null,82.040001,84.260002,79.099998,72.000000,72.010002,75.529999,75.029999,78.750000,82.889999,77.750000,80.260002,73.839996,67.120003,73.550003,77.029999,82.809998,84.110001,82.059998,79.570000,82.300003,82.660004,81.290001,85.540001,82.650002,81.940002
Southwest Airlines Company,null,45.880001,43.060001,37.619999,41.950001,44.799999,44.610001,42.480000,39.209999,37.009998,36.880001,38.889999,40.049999,46.610001,49.840000,52.310001,57.799999,53.759998,56.220001,60.090000,62.139999,55.509998,52.139999,55.980000,54.730000,53.860001
"Penske Automotive Group, Inc.",null,46.660000,42.340000,31.370001,37.720001,37.900002,39.130001,39.520000,31.459999,39.619999,45.299999,48.180000,44.750000,49.910000,51.840000,54.360001,50.299999,46.810001,47.709999,42.349998,43.910000,43.540001,42.360001,47.570000,47.660000,46.619999
ManpowerGroup,null,90.279999,84.290001,76.349998,77.440002,81.419998,77.029999,79.750000,64.339996,69.400002,71.459999,72.260002,76.800003,85.410004,88.870003,95.459999,97.040001,102.570000,100.980003,101.870003,111.650002,107.150002,111.510002,117.820000,121.849998,123.279999
Kohl's Corporation,null,47.130001,47.630001,49.750000,46.669998,46.610001,44.299999,36.040001,37.919998,41.590000,44.380001,43.750000,43.750000,53.830002,49.380001,39.830002,42.619999,39.810001,39.029999,38.430000,38.669998,41.349998,39.779999,45.650002,41.500000,41.759998
Starbucks Corporation,null,61.389999,60.029999,60.770000,58.209999,59.700001,56.230000,54.889999,57.119999,58.049999,56.230000,54.139999,53.070000,57.970001,55.520000,55.220001,56.869999,58.389999,60.060001,63.610001,58.310001,53.980000,54.860001,53.709999,55.169998,54.840000
PACCAR Inc.,null,51.959999,47.400002,49.070000,51.500000,54.689999,58.910000,55.750000,51.869999,58.970001,59.840000,58.779999,54.919998,62.150002,63.900002,67.309998,66.809998,67.199997,66.730003,62.959999,66.040001,68.449997,66.330002,72.339996,70.449997,71.730003
Cummins Inc.,null,100.370003,88.010002,89.889999,97.570000,109.940002,117.029999,114.470001,112.440002,122.769997,125.610001,128.149994,127.820000,141.779999,142.250000,147.009995,148.490005,151.199997,150.940002,157.699997,162.220001,167.899994,159.380005,168.029999,180.350006,176.880005
"Altria Group, Inc.",null,57.599998,58.209999,61.110001,61.570000,62.660000,62.709999,63.639999,68.959999,67.699997,66.089996,63.230000,66.120003,63.930000,67.620003,71.180000,74.919998,71.419998,71.779999,75.440002,74.470001,64.970001,63.400002,63.419998,64.050003,64.220001
Xerox Corporation,null,27.799736,28.010540,25.691700,25.322794,29.407114,25.296442,26.271410,25.006588,27.140974,25.955204,26.693018,25.744400,24.637682,23.003952,27.719999,29.760000,29.360001,28.760000,28.280001,28.730000,30.670000,32.270000,33.290001,30.230000,30.309999
Kimberly-Clark Corporation,null,119.150002,127.300003,128.419998,130.300003,134.509995,125.190002,127.040001,137.479996,129.550003,128.059998,126.139999,114.410004,115.610001,114.120003,121.129997,132.550003,131.630005,129.750000,129.729996,129.110001,123.160004,123.290001,117.680000,111.269997,112.510002
Hartford Financial Services Gro,null,45.639999,43.459999,40.180000,42.119999,46.080002,44.380001,45.169998,44.380001,39.849998,41.070000,42.820000,44.110001,47.119999,47.650002,48.709999,48.889999,48.070000,48.360001,49.389999,52.570000,55.000000,54.070000,55.430000,55.180000,55.049999
The Kraft Heinz Company,null,73.690002,72.760002,78.059998,77.019997,78.559998,78.070000,83.190002,88.480003,86.389999,89.489998,89.510002,88.949997,81.650002,87.320000,89.290001,91.510002,90.809998,90.389999,92.199997,85.639999,87.459999,80.750000,77.550003,75.269997,77.330002
Lear Corporation,null,125.900002,122.830002,103.830002,101.349998,111.169998,115.129997,118.760002,101.760002,113.449997,116.290001,121.220001,122.779999,129.509995,138.800003,142.089996,141.990005,141.580002,142.660004,149.039993,142.080002,148.190002,149.539993,173.080002,173.289993,175.589996
Fluor Corporation,null,48.599998,47.220001,44.889999,46.040001,53.700001,54.660000,52.779999,49.279999,53.520000,51.900002,51.320000,51.990002,53.509998,52.520000,55.500000,55.389999,52.619999,51.320000,44.860001,45.779999,43.430000,38.570000,42.099998,42.990002,43.090000
AECOM,null,31.830000,30.030001,27.440001,27.459999,30.790001,32.490002,32.110001,31.770000,35.490002,30.830000,29.730000,27.850000,36.349998,36.360001,36.930000,36.349998,35.590000,34.209999,32.110001,32.330002,31.900000,33.500000,36.810001,35.169998,35.060001
"Facebook, Inc.",null,104.239998,104.660004,112.209999,106.919998,114.099998,117.580002,118.809998,114.279999,123.940002,126.120003,128.270004,130.990005,118.419998,115.050003,130.320007,135.539993,142.050003,150.250000,151.460007,150.979996,169.250000,171.970001,170.869995,179.869995,180.059998
Jabil Inc.,null,25.590000,23.290001,19.910000,20.850000,19.270000,17.360001,19.080000,18.469999,20.350000,21.190001,21.820000,21.340000,21.150000,23.670000,23.980000,25.510000,28.920000,29.020000,29.920000,29.190001,30.500000,31.350000,28.549999,27.900000,28.280001
"CenturyLink, Inc.",null,26.930000,25.160000,25.420000,30.590000,31.959999,30.950001,27.120001,29.010000,31.440001,27.799999,27.430000,26.580000,23.520000,23.780001,25.860001,24.260000,23.570000,25.670000,24.950001,23.879999,23.270000,19.719999,18.900000,18.400000,18.990000
SuperValu Inc.,null,47.040001,47.460049,31.850031,35.770035,40.320042,35.210033,32.410034,33.040031,34.160034,38.360039,34.930035,30.030029,32.480034,4.870000,27.440027,26.460026,27.020027,28.700029,26.950027,23.030024,25.060024,19.990000,21.750000,16.190001,16.290001
"General Mills, Inc.",null,57.759998,57.660000,56.509998,58.849998,63.349998,61.340000,62.779999,71.320000,71.889999,70.820000,63.880001,61.980000,60.939999,61.770000,62.480000,60.369999,59.009998,57.509998,56.740002,55.400002,55.660000,53.259998,51.759998,50.660000,51.919998
Southern Company (The),null,44.540001,46.790001,48.919998,48.180000,51.730000,50.099998,49.439999,53.630001,53.500000,51.330002,51.299999,51.570000,46.820000,49.189999,49.430000,50.820000,49.779999,49.799999,50.610001,47.880001,47.930000,48.259998,49.139999,52.090000,52.200001
"NextEra Energy, Inc.",null,99.860001,103.889999,111.709999,112.820000,118.339996,117.580002,120.120003,130.399994,128.289993,120.940002,122.320000,128.000000,114.230003,119.459999,123.720001,131.000000,128.369995,133.559998,141.440002,140.130005,146.089996,150.509995,146.550003,155.360001,155.070007
Thermo Fisher Scientific Inc,null,138.399994,141.850006,132.059998,129.190002,141.589996,144.250000,151.770004,147.759995,158.839996,152.190002,159.059998,147.029999,140.110001,141.100006,152.389999,157.679993,153.600006,165.330002,172.789993,174.470001,175.529999,187.139999,189.199997,192.020004,193.830002
American Electric Power Company,null,56.009998,58.270000,60.970001,61.750000,66.400002,63.500000,64.730003,70.089996,69.300003,64.570000,64.209999,64.839996,59.049999,62.959999,64.059998,66.970001,67.129997,67.830002,71.779999,69.470001,70.540001,73.629997,70.239998,74.169998,74.410004
Pacific Gas & Electric Co.,null,52.730000,53.189999,54.910000,56.730000,59.720001,58.200001,60.080002,63.919998,63.939999,61.939999,61.169998,62.119999,58.799999,60.770000,61.889999,66.750000,66.360001,67.050003,68.379997,66.370003,67.690002,70.379997,68.089996,57.270000,57.770000
NGL ENERGY PARTNERS LP Common U,null,17.549999,11.040000,12.050000,8.090000,7.520000,12.780000,15.020000,19.320000,18.809999,18.139999,18.840000,17.799999,18.549999,21.000000,24.450001,22.200001,22.600000,16.000000,13.600000,14.000000,12.750000,8.950000,11.550000,11.600000,11.650000
Bristol-Myers Squibb Company,null,67.010002,68.790001,62.160000,61.930000,63.880001,72.180000,71.699997,73.550003,74.809998,57.389999,53.919998,50.910000,56.439999,57.040001,49.160000,56.709999,54.380001,56.049999,53.950001,55.720001,56.900002,60.480000,63.740002,60.840000,61.660000
Genpact Limited,null,25.200001,24.980000,23.920000,26.430000,27.190001,27.889999,28.190001,26.840000,26.770000,23.660000,23.950001,22.990000,23.930000,24.340000,24.680000,24.240000,24.760000,24.420000,27.320000,27.830000,29.000000,28.450001,28.750000,30.200001,30.450001
Nucor Corporation,null,41.450001,40.299999,39.070000,39.340000,47.299999,49.779999,48.509998,49.410000,53.639999,48.509998,49.450001,48.849998,62.189999,59.520000,58.090000,62.570000,59.720001,61.330002,58.099998,57.869999,57.669998,55.110001,56.040001,58.470001,57.830002
"PNC Financial Services Group, I",null,95.510002,95.309998,86.650002,81.309998,84.570000,87.779999,89.739998,81.389999,82.650002,90.099998,90.089996,95.599998,110.540001,116.959999,120.459999,127.230003,120.239998,119.750000,118.699997,124.870003,128.800003,125.410004,134.770004,137.160004,136.789993
"Micron Technology, Inc.",null,15.930000,14.160000,11.030000,10.630000,10.470000,10.750000,12.720000,13.760000,13.740000,16.490000,17.780001,17.160000,19.530001,21.920000,24.110001,23.440001,28.900000,27.670000,30.770000,29.860001,28.120001,31.969999,39.330002,41.650002,44.310001
Colgate-Palmolive Company,null,65.680000,66.620003,67.529999,65.639999,70.650002,70.919998,70.410004,73.199997,74.430000,74.339996,74.139999,71.360001,65.230003,65.440002,64.580002,72.980003,73.190002,72.040001,76.360001,74.129997,72.199997,71.639999,72.849998,69.199997,70.449997
"Freeport-McMoRan, Inc.",null,8.180000,6.770000,4.600000,7.630000,10.340000,14.000000,11.080000,11.140000,12.960000,10.290000,10.860000,11.180000,15.350000,13.190000,16.650000,13.400000,13.360000,12.750000,11.490000,12.010000,14.620000,14.780000,14.040000,13.940000,13.980000
